SKU ID,SKU Name,Week Start Date,Week Number,Month,Year,Actual Demand Units,Actual Sales Units,Lost Sales Units,Stockout,Is Promotion Week,Revenue CAD,Lost Revenue CAD,Gross Profit CAD,4 Week Moving Average,Unit Price CAD,Unit Cost CAD
NS-CHIP-001,NorthSnack Original Chips 200g,2023-01-02,1,2023-01,2023,1950,1950,0,No,No,6805.5,0.0,4621.5,1950,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-01-09,2,2023-01,2023,1693,1693,0,No,No,5908.57,0.0,4012.41,1821,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-01-16,3,2023-01,2023,1820,1820,0,No,No,6351.8,0.0,4313.4,1821,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-01-23,4,2023-01,2023,2077,2077,0,No,No,7248.73,0.0,4922.49,1885,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-01-30,5,2023-01,2023,1851,1851,0,No,No,6459.99,0.0,4386.87,1860,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-02-06,6,2023-02,2023,1785,1785,0,No,No,6229.65,0.0,4230.45,1883,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-02-13,7,2023-02,2023,1410,1410,0,No,No,4920.9,0.0,3341.7,1780,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-02-20,8,2023-02,2023,2179,2179,0,No,Yes,7604.71,0.0,5164.23,1806,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-02-27,9,2023-02,2023,1678,1678,0,No,No,5856.22,0.0,3976.86,1763,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-03-06,10,2023-03,2023,1684,1684,0,No,No,5877.16,0.0,3991.08,1737,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-03-13,11,2023-03,2023,1198,1198,0,No,No,4181.02,0.0,2839.26,1684,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-03-20,12,2023-03,2023,1468,1468,0,No,No,5123.32,0.0,3479.16,1507,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-03-27,13,2023-03,2023,1814,1814,0,No,No,6330.86,0.0,4299.18,1541,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-04-03,14,2023-04,2023,1510,625,885,Yes,No,2181.25,3088.65,1481.25,1497,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-04-10,15,2023-04,2023,1509,124,1385,Yes,No,432.76,4833.65,293.88,1575,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-04-17,16,2023-04,2023,1287,1287,0,No,No,4491.63,0.0,3050.19,1530,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-04-24,17,2023-04,2023,1507,1507,0,No,No,5259.43,0.0,3571.59,1453,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-05-01,18,2023-05,2023,1587,1587,0,No,No,5538.63,0.0,3761.19,1472,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-05-08,19,2023-05,2023,1710,1710,0,No,No,5967.9,0.0,4052.7,1522,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-05-15,20,2023-05,2023,1652,1652,0,No,No,5765.48,0.0,3915.24,1614,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-05-22,21,2023-05,2023,1443,1443,0,No,No,5036.07,0.0,3419.91,1598,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-05-29,22,2023-05,2023,2258,2258,0,No,Yes,7880.42,0.0,5351.46,1765,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-06-05,23,2023-06,2023,1642,1642,0,No,No,5730.58,0.0,3891.54,1748,3.49,1.12
NS-CHIP-001,NorthSnack Original Chips 200g,2023-06-12,24,2023-06,2023,1724,1724,0,No,No,6016.76,0.0,4085.88,1766,3.49,1.12
